outGlobalCount,outPhase,outBreathWfm,outHeartWfm,outHeartRate_FFT,outBreathRate_FFT,outBreathRate_Peak,outHeartRate_Peak,outConfidenceMetricHeart,outConfidenceMetricBreath,outEnergyBreath,outEnergyHeart,outBreathWfm_smoothed
,,-0.07452382,118.359375,,,,,,,,,-0.07452382
,,0.055087127,118.359375,,,,,,,,,0.055087127
,,0.15335089,118.359375,,,,,,,,,0.15335089
,,0.21959877,118.359375,,,,,,,,,0.21959877
,,0.25727946,118.359375,,,,,,,,,0.25727946
,,0.16816875,118.359375,,,,,,,,,0.16816875
,,-0.09343457,118.359375,,,,,,,,,-0.09343457
,,-0.39535218,118.359375,,,,,,,,,-0.39535218
,,-0.54006875,118.359375,,,,,,,,,-0.54006875
,,-0.45387933,118.359375,,,,,,,,,-0.45387933
,,-0.25226358,118.359375,,,,,,,,,-0.25226358
,,-0.11492661,118.359375,,,,,,,,,-0.11492661
,,-0.09158397,118.359375,,,,,,,,,-0.09158397
,,-0.06130314,118.359375,,,,,,,,,-0.06130314
,,0.08752966,118.359375,,,,,,,,,0.08752966
,,0.30948806,118.359375,,,,,,,,,0.30948806
,,0.46973658,118.359375,,,,,,,,,0.46973658
,,0.4783417,118.359375,,,,,,,,,0.4783417
,,0.3525704,118.359375,,,,,,,,,0.3525704
,,0.19601572,118.359375,,,,,,,,,0.19601572
,,0.10399383,118.359375,,,,,,,,,0.10399383
,,0.078382045,118.359375,,,,,,,,,0.078382045
,,0.052223563,118.359375,,,,,,,,,0.052223563
,,-0.017069608,118.359375,,,,,,,,,-0.017069608
,,-0.11139244,118.359375,,,,,,,,,-0.11139244
,,-0.19149324,118.359375,,,,,,,,,-0.19149324
,,-0.22978991,118.359375,,,,,,,,,-0.22978991
,,-0.18836907,118.359375,,,,,,,,,-0.18836907
,,-0.038323075,118.359375,,,,,,,,,-0.038323075
,,0.089673296,118.359375,,,,,,,,,0.089673296
,,-0.056457765,118.359375,,,,,,,,,-0.056457765
,,-0.4369644,118.359375,,,,,,,,,-0.4369644
,,-0.608955,118.359375,,,,,,,,,-0.608955
,,-0.33035046,118.359375,,,,,,,,,-0.33035046
,,-0.020233512,118.359375,,,,,,,,,-0.020233512
,,-0.18169671,118.359375,,,,,,,,,-0.18169671
,,-0.45837444,118.359375,,,,,,,,,-0.45837444
