outGlobalCount,outPhase,outBreathWfm,outHeartWfm,outHeartRate_FFT,outBreathRate_FFT,outBreathRate_Peak,outHeartRate_Peak,outConfidenceMetricHeart,outConfidenceMetricBreath,outEnergyBreath,outEnergyHeart
,,-0.08084279,110.15625,,,,,,,,
,,0.04641126,110.15625,,,,,,,,
,,0.11606212,110.15625,,,,,,,,
,,0.06851485,110.15625,,,,,,,,
,,-0.062618986,111.328125,,,,,,,,
,,-0.15820184,111.328125,,,,,,,,
,,-0.12454432,112.5,,,,,,,,
,,0.014160931,112.5,,,,,,,,
,,0.17173487,112.5,,,,,,,,
,,0.29594672,112.5,,,,,,,,
,,0.31076863,112.5,,,,,,,,
,,0.09445821,112.5,,,,,,,,
,,-0.26973522,112.5,,,,,,,,
,,-0.42551643,112.5,,,,,,,,
,,-0.16455878,112.5,,,,,,,,
,,0.2831425,112.5,,,,,,,,
,,,112.5,,,,,,,,
,,0.18820938,112.5,,,,,,,,
,,-0.24651793,112.5,,,,,,,,
,,-0.24040523,112.5,,,,,,,,
,,0.21685499,112.5,,,,,,,,
,,,112.5,,,,,,,,
,,,112.5,,,,,,,,
,,0.28034797,112.5,,,,,,,,
,,0.22810388,112.5,,,,,,,,
,,0.13760269,112.5,,,,,,,,
,,-0.1592952,112.5,,,,,,,,
,,,111.328125,,,,,,,,
,,,111.328125,,,,,,,,
,,,111.328125,,,,,,,,
,,-0.38664508,111.328125,,,,,,,,
,,-0.34560418,111.328125,,,,,,,,
,,-0.36679408,111.328125,,,,,,,,
,,-0.27976823,111.328125,,,,,,,,
,,-0.02510047,111.328125,,,,,,,,
,,0.2539395,111.328125,,,,,,,,
,,0.35897964,111.328125,,,,,,,,
,,0.26103288,111.328125,,,,,,,,
,,0.119012356,111.328125,,,,,,,,
,,0.06274761,111.328125,,,,,,,,
,,0.047519177,111.328125,,,,,,,,
,,-0.00061030686,111.328125,,,,,,,,
,,0.009816587,111.328125,,,,,,,,
,,0.19563405,111.328125,,,,,,,,
,,0.4238394,111.328125,,,,,,,,
,,0.4302313,111.328125,,,,,,,,
,,0.18152738,111.328125,,,,,,,,
,,-0.08398023,111.328125,,,,,,,,
,,-0.14788544,111.328125,,,,,,,,
,,-0.03413114,111.328125,,,,,,,,
,,0.062352777,111.328125,,,,,,,,
,,0.02144894,111.328125,,,,,,,,
,,-0.100599885,111.328125,,,,,,,,
,,-0.19198945,111.328125,,,,,,,,
,,-0.18569362,111.328125,,,,,,,,
,,-0.060111176,111.328125,,,,,,,,
,,0.12815681,111.328125,,,,,,,,
,,0.20833014,111.328125,,,,,,,,
,,0.018052772,111.328125,,,,,,,,
,,-0.3679942,111.328125,,,,,,,,
,,,111.328125,,,,,,,,
,,,111.328125,,,,,,,,
,,-0.20844373,111.328125,,,,,,,,
,,0.11895138,111.328125,,,,,,,,
,,0.25326037,111.328125,,,,,,,,
,,0.2275849,111.328125,,,,,,,,
,,0.19225334,111.328125,,,,,,,,
,,0.25502113,111.328125,,,,,,,,
,,0.3867118,111.328125,,,,,,,,
,,,111.328125,,,,,,,,
,,0.35531867,111.328125,,,,,,,,
,,0.13431409,111.328125,,,,,,,,
,,-0.046891987,111.328125,,,,,,,,
,,-0.0844807,111.328125,,,,,,,,
,,-0.045223296,111.328125,,,,,,,,
,,-0.07537186,111.328125,,,,,,,,
,,-0.22159845,111.328125,,,,,,,,
,,-0.3675861,112.5,,,,,,,,
,,-0.3645227,112.5,,,,,,,,
,,-0.21087953,112.5,,,,,,,,
,,-0.054417282,112.5,,,,,,,,
,,-0.010400936,112.5,,,,,,,,
,,-0.035753965,112.5,,,,,,,,
,,-0.020247862,112.5,,,,,,,,
,,0.05560665,112.5,,,,,,,,
,,0.11501248,112.5,,,,,,,,
,,0.09400199,112.5,,,,,,,,
,,0.0059027076,112.5,,,,,,,,
,,-0.07329893,112.5,,,,,,,,
,,-0.059323907,112.5,,,,,,,,
,,0.06853632,112.5,,,,,,,,
,,0.22238211,111.328125,,,,,,,,
,,0.25336334,111.328125,,,,,,,,
,,0.09155232,111.328125,,,,,,,,
,,-0.15279919,111.328125,,,,,,,,
,,-0.2713379,111.328125,,,,,,,,
,,-0.15831396,111.328125,,,,,,,,
,,0.10212642,111.328125,,,,,,,,
,,0.33471403,111.328125,,,,,,,,
,,0.40049207,111.328125,,,,,,,,
,,0.26004007,111.328125,,,,,,,,
,,-0.0052902102,111.328125,,,,,,,,
,,-0.24365383,111.328125,,,,,,,,
,,-0.34472618,111.328125,,,,,,,,
,,-0.29886824,112.5,,,,,,,,
,,-0.15894979,112.5,,,,,,,,
,,0.0061091483,112.5,,,,,,,,
,,0.10977236,112.5,,,,,,,,
,,0.07546613,112.5,,,,,,,,
,,-0.077840716,112.5,,,,,,,,
,,-0.22959879,112.5,,,,,,,,
,,-0.27359846,112.5,,,,,,,,
,,-0.18218338,112.5,,,,,,,,
,,0.03291306,112.5,,,,,,,,
,,0.31581083,112.5,,,,,,,,
,,,112.5,,,,,,,,
,,,112.5,,,,,,,,
,,0.30534002,112.5,,,,,,,,
,,-0.005746573,112.5,,,,,,,,
,,-0.23748818,112.5,,,,,,,,
,,-0.30290574,112.5,,,,,,,,
,,-0.23325092,112.5,,,,,,,,
,,-0.12181762,112.5,,,,,,,,
,,-0.02616096,112.5,,,,,,,,
,,0.04335784,112.5,,,,,,,,
,,0.063835755,112.5,,,,,,,,
,,0.010762194,112.5,,,,,,,,
,,-0.08813968,112.5,,,,,,,,
,,-0.17212452,112.5,,,,,,,,
,,-0.1924289,112.5,,,,,,,,
,,-0.12473294,112.5,,,,,,,,
,,0.013236567,112.5,,,,,,,,
,,0.14831236,112.5,,,,,,,,
,,0.18805018,112.5,,,,,,,,
,,0.10079999,112.5,,,,,,,,
,,-0.032883316,112.5,,,,,,,,
,,-0.08145478,112.5,,,,,,,,
,,-0.0020948797,112.5,,,,,,,,
,,0.11247138,112.5,,,,,,,,
,,0.15715182,104.296875,,,,,,,,
,,0.12336544,104.296875,,,,,,,,
,,0.05489847,104.296875,,,,,,,,
,,-0.0114886165,104.296875,,,,,,,,
,,-0.04214251,104.296875,,,,,,,,
,,-0.03425637,104.296875,,,,,,,,
,,-0.041210398,104.296875,,,,,,,,
,,-0.09576044,104.296875,,,,,,,,
,,-0.13889322,104.296875,,,,,,,,
,,-0.09228632,104.296875,,,,,,,,
,,0.033334285,104.296875,,,,,,,,
,,0.14814988,104.296875,,,,,,,,
,,0.16900441,104.296875,,,,,,,,
,,0.07986255,104.296875,,,,,,,,
,,-0.055042133,104.296875,,,,,,,,
,,-0.13387133,104.296875,,,,,,,,
,,-0.10673711,104.296875,,,,,,,,
,,-0.02311999,104.296875,,,,,,,,
,,0.028685637,104.296875,,,,,,,,
,,0.013717551,104.296875,,,,,,,,
,,-0.033995204,104.296875,,,,,,,,
,,-0.064416006,104.296875,,,,,,,,
,,-0.058966096,104.296875,,,,,,,,
,,-0.032931574,104.296875,,,,,,,,
,,-0.005455129,104.296875,,,,,,,,
,,0.023796923,104.296875,,,,,,,,
,,0.059959587,103.125,,,,,,,,
,,0.08219315,103.125,,,,,,,,
,,0.062220268,103.125,,,,,,,,
,,0.013130311,103.125,,,,,,,,
,,-0.016924774,103.125,,,,,,,,
,,0.011867274,103.125,,,,,,,,
