accx,accy,accz,gyrx,gyry,gyrz,qw,qx,qy,qz,qyaw,qpitch,qroll,yaw,pitch,roll,gravaccx,gravaccy,gravaccz,counter
-0.19,0.86,-0.51,2.20,1.28,1.65,0.31,0.36,-0.78,-0.41,-123.69,-10.69,118.52,-131.20,-10.69,118.52,0.67,1.05,-0.04,303236,1721297157.9380338
-0.15,0.90,-0.49,-3.72,-0.61,3.17,0.31,0.36,-0.78,-0.41,-123.67,-10.39,118.47,-131.18,-10.39,118.47,0.71,1.08,-0.02,303237,1721297157.9430218
-0.14,0.92,-0.46,-2.32,-0.06,2.69,0.31,0.36,-0.77,-0.42,-123.61,-10.03,118.19,-131.12,-10.03,118.19,0.72,1.10,0.00,303238,1721297157.9500017
-0.16,0.88,-0.47,-0.55,0.18,1.65,0.31,0.36,-0.77,-0.42,-123.60,-9.87,118.17,-131.11,-9.87,118.17,0.71,1.05,-0.01,303239,1721297157.9529955
-0.18,0.89,-0.49,-1.53,-0.12,2.08,0.31,0.37,-0.77,-0.42,-123.60,-9.87,118.20,-131.11,-9.87,118.20,0.69,1.07,-0.02,303240,1721297157.9569874
-0.16,0.91,-0.45,-2.32,-0.31,2.14,0.31,0.37,-0.77,-0.42,-123.55,-9.75,117.94,-131.06,-9.75,117.94,0.71,1.08,0.01,303241,1721297157.9619715
-0.16,0.89,-0.44,-2.32,-0.37,2.01,0.31,0.37,-0.77,-0.42,-123.50,-9.66,117.73,-131.01,-9.66,117.73,0.71,1.05,0.02,303242,1721297157.9679546
-0.16,0.88,-0.49,1.10,0.92,1.77,0.31,0.37,-0.77,-0.42,-123.54,-9.54,117.94,-131.05,-9.54,117.94,0.71,1.05,-0.03,303243,1721297157.9689522
-0.17,0.92,-0.49,-2.44,-0.24,2.81,0.31,0.37,-0.77,-0.42,-123.52,-9.49,117.92,-131.03,-9.49,117.92,0.70,1.08,-0.02,303244,1721297157.9699492
-0.16,0.93,-0.45,-2.32,-0.37,2.38,0.31,0.37,-0.77,-0.42,-123.46,-9.40,117.61,-130.97,-9.40,117.61,0.71,1.09,0.01,303245,1721297157.9749358
-0.17,0.90,-0.48,0.43,0.43,1.83,0.31,0.37,-0.77,-0.42,-123.47,-9.37,117.66,-130.98,-9.37,117.66,0.71,1.07,-0.02,303246,1721297157.9829144
-0.16,0.91,-0.51,-0.85,0.06,2.75,0.30,0.37,-0.77,-0.42,-123.49,-9.24,117.87,-131.00,-9.24,117.87,0.72,1.07,-0.05,303247,1721297157.992888
-0.14,0.94,-0.47,-2.14,-0.31,3.05,0.30,0.37,-0.77,-0.42,-123.45,-8.97,117.69,-130.96,-8.97,117.69,0.74,1.10,-0.01,303248,1721297158.000867
-0.13,0.90,-0.47,-0.49,0.12,2.08,0.30,0.37,-0.77,-0.42,-123.44,-8.75,117.68,-130.95,-8.75,117.68,0.74,1.05,-0.01,303249,1721297158.009848
-0.14,0.88,-0.48,-0.79,-0.06,2.50,0.30,0.37,-0.77,-0.42,-123.45,-8.61,117.83,-130.96,-8.61,117.83,0.73,1.03,-0.02,303250,1721297158.0193374
-0.09,0.91,-0.49,-0.06,0.49,2.56,0.30,0.37,-0.77,-0.42,-123.46,-8.13,117.92,-130.97,-8.13,117.92,0.78,1.05,-0.03,303251,1721297158.0283103
-0.13,0.90,-0.44,-4.27,-1.53,2.44,0.30,0.37,-0.77,-0.43,-123.40,-8.05,117.63,-130.91,-8.05,117.63,0.74,1.04,0.02,303252,1721297158.0392795
-0.13,0.89,-0.47,1.16,0.00,1.04,0.30,0.37,-0.77,-0.43,-123.40,-7.97,117.65,-130.91,-7.97,117.65,0.74,1.03,-0.01,303253,1721297158.0462613
-0.12,0.91,-0.48,-0.67,-0.61,1.59,0.30,0.37,-0.77,-0.43,-123.39,-7.77,117.64,-130.90,-7.77,117.64,0.76,1.05,-0.02,303254,1721297158.0532439
-0.13,0.93,-0.46,-4.58,-2.14,1.65,0.30,0.37,-0.77,-0.43,-123.34,-7.71,117.39,-130.85,-7.71,117.39,0.75,1.07,-0.00,303255,1721297158.0642135
-0.17,0.89,-0.50,1.28,-0.61,-0.18,0.30,0.37,-0.77,-0.43,-123.38,-8.08,117.77,-130.89,-8.08,117.77,0.70,1.03,-0.04,303256,1721297158.0771809
-0.15,0.93,-0.48,-3.11,-1.89,1.28,0.30,0.37,-0.77,-0.43,-123.36,-8.06,117.71,-130.87,-8.06,117.71,0.73,1.07,-0.02,303257,1721297158.0871537
-0.15,0.94,-0.45,-3.36,-1.95,1.04,0.30,0.37,-0.77,-0.43,-123.30,-8.07,117.36,-130.81,-8.07,117.36,0.73,1.09,0.01,303258,1721297158.094135
-0.13,0.87,-0.45,-0.06,-0.98,-0.24,0.30,0.37,-0.77,-0.43,-123.29,-8.00,117.32,-130.80,-8.00,117.32,0.75,1.01,0.01,303259,1721297158.1011155
-0.13,0.86,-0.49,0.98,-0.24,0.61,0.30,0.37,-0.77,-0.43,-123.32,-7.92,117.64,-130.83,-7.92,117.64,0.75,1.00,-0.03,303260,1721297158.1170738
